0,1,2,3,4
Kab. Banjarnegara,Pendapatan Daerah,"2.104,39 M","2.040,59 M",96.97
Kab. Banjarnegara,PAD,"289,41 M","284,51 M",98.31
Kab. Banjarnegara,Pajak Daerah,"68,95 M","74,79 M",108.47
Kab. Banjarnegara,Retribusi Daerah,"27,54 M","29,88 M",108.51
Kab. Banjarnegara,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"16,91 M","18,11 M",107.09
Kab. Banjarnegara,Lain-Lain PAD yang Sah,"176,00 M","161,72 M",91.89
Kab. Banjarnegara,TKDD *),"1.664,29 M","1.593,76 M",95.76
Kab. Banjarnegara,Pendapatan Transfer Pemerintah Pusat,"1.664,29 M","1.593,76 M",95.76
Kab. Banjarnegara,Pendapatan Lainnya,"150,69 M","162,33 M",107.72
Kab. Banjarnegara,Pendapatan Transfer Antar Daerah,"113,63 M","135,00 M",118.81
Kab. Banjarnegara,Pendapatan Hibah,"37,06 M","27,33 M",73.72
Kab. Banjarnegara,Belanja Daerah,"2.187,09 M","2.035,66 M",93.08
Kab. Banjarnegara,Belanja Pegawai,"874,62 M","822,17 M",94.00
Kab. Banjarnegara,Belanja Pegawai,"874,62 M","822,17 M",94.00
Kab. Banjarnegara,Belanja Barang Jasa,"474,14 M","457,19 M",96.43
Kab. Banjarnegara,Belanja Barang dan Jasa,"474,14 M","457,19 M",96.43
Kab. Banjarnegara,Belanja Modal,"281,62 M","191,79 M",68.10
Kab. Banjarnegara,Belanja Modal,"281,62 M","191,79 M",68.10
Kab. Banjarnegara,Belanja Lainnya,"556,72 M","564,51 M",101.40
Kab. Banjarnegara,Belanja Hibah,"114,07 M","124,97 M",109.56
Kab. Banjarnegara,Belanja Bantuan Sosial,"13,99 M","15,02 M",107.30
Kab. Banjarnegara,Belanja Tidak Terduga,"20,70 M","9,71 M",46.89
Kab. Banjarnegara,Belanja Bagi Hasil,"13,20 M","13,61 M",103.12
Kab. Banjarnegara,Belanja Bantuan Keuangan,"394,75 M","401,21 M",101.64
Kab. Banjarnegara,Surplus/(Defisit),"-82,70 M","4,93 M",-5.97
Kab. Banjarnegara,Pembiayaan Daerah,"82,70 M","69,12 M",83.58
Kab. Banjarnegara,Penerimaan Pembiayaan Daerah,"98,85 M","84,52 M",85.50
Kab. Banjarnegara,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"98,85 M","84,52 M",85.50
Kab. Banjarnegara,Pengeluaran Pembiayaan Daerah,"16,15 M","15,40 M",95.36
Kab. Banjarnegara,Penyertaan Modal Daerah,"15,40 M","15,40 M",100.00
Kab. Banjarnegara,Pemberian Pinjaman Daerah,"0,75 M","0,00 M",0.00
Kab. Banyumas,Pendapatan Daerah,"3.567,60 M","3.164,82 M",88.71
Kab. Banyumas,PAD,"854,99 M","742,28 M",86.82
Kab. Banyumas,Pajak Daerah,"340,05 M","267,24 M",78.59
Kab. Banyumas,Retribusi Daerah,"24,68 M","27,99 M",113.42
Kab. Banyumas,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"13,40 M","21,80 M",162.70
Kab. Banyumas,Lain-Lain PAD yang Sah,"476,86 M","425,25 M",89.18
Kab. Banyumas,TKDD *),"2.411,35 M","2.133,31 M",88.47
Kab. Banyumas,Pendapatan Transfer Pemerintah Pusat,"2.411,35 M","2.133,31 M",88.47
Kab. Banyumas,Pendapatan Lainnya,"301,26 M","289,23 M",96.01
Kab. Banyumas,Pendapatan Transfer Antar Daerah,"271,76 M","275,17 M",101.25
Kab. Banyumas,Pendapatan Hibah,"29,50 M","14,02 M",47.54
Kab. Banyumas,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,04 M",0
Kab. Banyumas,Belanja Daerah,"3.609,76 M","3.315,06 M",91.84
Kab. Banyumas,Belanja Pegawai,"1.562,05 M","1.420,96 M",90.97
Kab. Banyumas,Belanja Pegawai,"1.562,05 M","1.420,96 M",90.97
Kab. Banyumas,Belanja Barang Jasa,"902,58 M","739,69 M",81.95
Kab. Banyumas,Belanja Barang dan Jasa,"902,58 M","739,69 M",81.95
Kab. Banyumas,Belanja Modal,"355,67 M","406,54 M",114.30
Kab. Banyumas,Belanja Modal,"355,67 M","406,54 M",114.30
Kab. Banyumas,Belanja Lainnya,"789,46 M","747,87 M",94.73
Kab. Banyumas,Belanja Bunga,"9,28 M","9,32 M",100.46
Kab. Banyumas,Belanja Hibah,"72,19 M","51,87 M",71.85
Kab. Banyumas,Belanja Bantuan Sosial,"11,52 M","9,04 M",78.53
Kab. Banyumas,Belanja Tidak Terduga,"49,00 M","28,16 M",57.48
Kab. Banyumas,Belanja Bagi Hasil,"38,55 M","32,03 M",83.09
Kab. Banyumas,Belanja Bantuan Keuangan,"608,92 M","617,44 M",101.40
Kab. Banyumas,Surplus/(Defisit),"-42,16 M","-150,24 M",356.33
Kab. Banyumas,Pembiayaan Daerah,"42,16 M","536,44 M","1,272.29"
Kab. Banyumas,Penerimaan Pembiayaan Daerah,"93,67 M","486,69 M",519.60
Kab. Banyumas,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"92,67 M","369,90 M",399.17
Kab. Banyumas,Penerimaan Pinjaman Daerah,"0,00 M","116,79 M",0
Kab. Banyumas,Penerimaan Kembali Pemberian Pinjaman Daerah,"1,00 M","0,00 M",0.00
Kab. Banyumas,Pengeluaran Pembiayaan Daerah,"51,50 M","-49,75 M",-96.59
Kab. Banyumas,Pembentukan Dana Cadangan,"25,00 M","-25,00 M",-100.00
Kab. Banyumas,Penyertaan Modal Daerah,"25,00 M","-24,75 M",-98.97
Kab. Banyumas,Pemberian Pinjaman Daerah,"1,50 M","0,00 M",0.00
Kab. Batang,Pendapatan Daerah,"1.769,33 M","1.672,49 M",94.53
Kab. Batang,PAD,"305,96 M","301,02 M",98.39
Kab. Batang,Pajak Daerah,"122,46 M","129,08 M",105.40
Kab. Batang,Retribusi Daerah,"28,60 M","22,18 M",77.55
Kab. Batang,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"12,42 M","13,06 M",105.16
Kab. Batang,Lain-Lain PAD yang Sah,"142,48 M","136,71 M",95.95
Kab. Batang,TKDD *),"1.252,03 M","1.225,81 M",97.91
Kab. Batang,Pendapatan Transfer Pemerintah Pusat,"1.252,03 M","1.225,81 M",97.91
Kab. Batang,Pendapatan Lainnya,"211,34 M","145,66 M",68.92
Kab. Batang,Pendapatan Transfer Antar Daerah,"129,85 M","144,64 M",111.39
Kab. Batang,Pendapatan Hibah,"0,00 M","0,00 M",0
Kab. Batang,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"81,48 M","1,02 M",1.25
Kab. Batang,Belanja Daerah,"1.829,30 M","1.783,95 M",97.52
Kab. Batang,Belanja Pegawai,"759,31 M","726,15 M",95.63
Kab. Batang,Belanja Pegawai,"759,31 M","726,15 M",95.63
Kab. Batang,Belanja Barang Jasa,"450,07 M","422,91 M",93.97
Kab. Batang,Belanja Barang dan Jasa,"450,07 M","422,91 M",93.97
Kab. Batang,Belanja Modal,"172,40 M","185,22 M",107.44
Kab. Batang,Belanja Modal,"172,40 M","185,22 M",107.44
Kab. Batang,Belanja Lainnya,"447,53 M","449,67 M",100.48
Kab. Batang,Belanja Hibah,"79,18 M","85,04 M",107.40
Kab. Batang,Belanja Bantuan Sosial,"15,27 M","13,55 M",88.76
Kab. Batang,Belanja Tidak Terduga,"12,00 M","4,17 M",34.75
Kab. Batang,Belanja Bagi Hasil,"9,59 M","9,58 M",99.81
Kab. Batang,Belanja Bantuan Keuangan,"331,48 M","337,33 M",101.76
Kab. Batang,Surplus/(Defisit),"-59,98 M","-111,45 M",185.82
Kab. Batang,Pembiayaan Daerah,"59,98 M","187,41 M",312.46
Kab. Batang,Penerimaan Pembiayaan Daerah,"101,98 M","207,75 M",203.72
Kab. Batang,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"71,98 M","207,75 M",288.63
Kab. Batang,Penerimaan Pinjaman Daerah,"30,00 M","0,00 M",0.00
Kab. Batang,Pengeluaran Pembiayaan Daerah,"42,00 M","20,34 M",48.43
Kab. Batang,Penyertaan Modal Daerah,"12,00 M","20,34 M",169.52
Kab. Batang,Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"30,00 M","0,00 M",0.00
Kab. Blora,Pendapatan Daerah,"2.089,65 M","2.100,17 M",100.50
Kab. Blora,PAD,"291,11 M","330,66 M",113.59
Kab. Blora,Pajak Daerah,"52,10 M","63,90 M",122.64
Kab. Blora,Retribusi Daerah,"12,43 M","11,51 M",92.59
Kab. Blora,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"73,45 M","78,18 M",106.44
Kab. Blora,Lain-Lain PAD yang Sah,"153,12 M","177,07 M",115.64
Kab. Blora,TKDD *),"1.678,54 M","1.581,37 M",94.21
Kab. Blora,Pendapatan Transfer Pemerintah Pusat,"1.678,54 M","1.581,37 M",94.21
Kab. Blora,Pendapatan Lainnya,"120,00 M","188,13 M",156.78
Kab. Blora,Pendapatan Transfer Antar Daerah,"120,00 M","188,00 M",156.67
